entry	name	size
140001000	FUN_140001000	25
140001020	FUN_140001020	59
140001060	FUN_140001060	25
140001080	FUN_140001080	61
1400010c0	FUN_1400010c0	59
140001100	FUN_140001100	61
140001140	FUN_140001140	59
14000117c	FUN_14000117c	32
1400011a8	FUN_1400011a8	27
1400011d0	_guard_check_icall	3
1400011e0	InitializeCriticalSectionEx	7
1400011f0	FUN_1400011f0	124
140001270	FUN_140001270	453
140001440	FUN_140001440	36
140001470	FUN_140001470	100
1400014e0	FUN_1400014e0	6966
140003020	FUN_140003020	64
140003060	FUN_140003060	43
140003090	FUN_140003090	92
1400030f0	FUN_1400030f0	72
140003140	FUN_140003140	73
140003190	FUN_140003190	21
1400031b0	FUN_1400031b0	116
140003230	FUN_140003230	297
140003360	FUN_140003360	453
140003530	FID_conflict:underflow	106
1400035a0	FUN_1400035a0	95
140003600	FUN_140003600	694
1400038c0	FUN_1400038c0	80
140003910	FUN_140003910	71
140003960	FUN_140003960	15
140003970	FUN_140003970	125
1400039f0	FUN_1400039f0	34
140003a20	FUN_140003a20	325
140003b70	FUN_140003b70	128
140003bf0	FUN_140003bf0	155
140003c90	FUN_140003c90	107
140003d00	FUN_140003d00	108
140003d80	FUN_140003d80	108
140003e00	FUN_140003e00	24
140003e20	FUN_140003e20	306
140003f60	FUN_140003f60	273
140004080	FUN_140004080	141
140004110	FUN_140004110	254
140004210	FUN_140004210	259
140004330	FUN_140004330	171
1400043e0	FUN_1400043e0	191
1400044a0	FUN_1400044a0	112
140004510	FUN_140004510	4
140004520	FUN_140004520	40
140004550	FUN_140004550	170
140004600	FUN_140004600	373
140004790	FUN_140004790	172
140004840	FUN_140004840	45
140004870	FUN_140004870	107
1400048e0	FUN_1400048e0	45
140004910	FUN_140004910	75
140004960	FUN_140004960	251
140004a60	FUN_140004a60	146
140004b00	FUN_140004b00	158
140004ba0	basic_string<>	47
140004bd0	FUN_140004bd0	12
140004be0	operator_delete	7
140004bf0	FUN_140004bf0	79
140004c40	FUN_140004c40	76
140004c90	FUN_140004c90	89
140004cf0	FUN_140004cf0	13
140004d00	FUN_140004d00	16
140004d10	FUN_140004d10	10
140004d20	FUN_140004d20	80
140004d70	FUN_140004d70	80
140004dd0	FUN_140004dd0	8
140004de0	FUN_140004de0	303
140004f10	FUN_140004f10	79
140004f60	FUN_140004f60	59
140004fa0	FUN_140004fa0	421
140005150	FUN_140005150	132
1400051e0	FUN_1400051e0	8
1400051f0	FUN_1400051f0	1170
140005690	FUN_140005690	434
140005850	FUN_140005850	434
140005a10	FUN_140005a10	434
140005bd0	FUN_140005bd0	87
140005c30	FUN_140005c30	87
140005c90	FUN_140005c90	84
140005cf0	FUN_140005cf0	50
140005d30	FUN_140005d30	50
140005d70	FUN_140005d70	84
140005dd0	FUN_140005dd0	600
140006030	FUN_140006030	322
140006180	PreTranslateMessage	7
140006190	FUN_140006190	3
1400061a0	FUN_1400061a0	310
1400062e0	FUN_1400062e0	459
1400064b0	FUN_1400064b0	304
1400065e0	FUN_1400065e0	12
1400065f0	FUN_1400065f0	145
140006690	FUN_140006690	293
1400067c0	FUN_1400067c0	35
1400067f0	FUN_1400067f0	12
140006800	FUN_140006800	65
140006850	FUN_140006850	87
1400068b0	FUN_1400068b0	130
140006940	FUN_140006940	105
1400069b0	FUN_1400069b0	80
140006a00	FUN_140006a00	80
140006a50	FUN_140006a50	121
140006ad0	FUN_140006ad0	31
140006b00	FUN_140006b00	8
140006b10	FUN_140006b10	556
140006d40	FUN_140006d40	79
140006d90	FUN_140006d90	306
140006ed0	FUN_140006ed0	405
140007070	FUN_140007070	8
140007080	FUN_140007080	684
140007330	FUN_140007330	63
140007380	FUN_140007380	207
140007450	FUN_140007450	258
140007560	FUN_140007560	1576
140007b90	FUN_140007b90	975
140007f60	FUN_140007f60	111
140007fd0	FUN_140007fd0	229
1400080c0	FUN_1400080c0	570
140008300	FUN_140008300	1027
140008710	FUN_140008710	8
140008720	FUN_140008720	262
140008830	FUN_140008830	79
140008880	FUN_140008880	182
140008940	FUN_140008940	153
1400089e0	FUN_1400089e0	8
1400089f0	FUN_1400089f0	509
140008bf0	FUN_140008bf0	63
140008c30	FUN_140008c30	258
140008d40	FUN_140008d40	743
140009030	FUN_140009030	279
140009150	FUN_140009150	89
1400091b0	FUN_1400091b0	8
1400091c0	FUN_1400091c0	395
140009350	FUN_140009350	79
1400093a0	FUN_1400093a0	264
1400094b0	FUN_1400094b0	237
1400095a0	FUN_1400095a0	700
140009860	FUN_140009860	63
1400098a0	FUN_1400098a0	1129
140009d10	FUN_140009d10	383
140009e90	FUN_140009e90	80
140009ef0	FUN_140009ef0	8
140009f00	FUN_140009f00	106
140009f70	FUN_140009f70	47
140009fa0	FUN_140009fa0	8
140009fc0	FUN_140009fc0	66
14000a010	FUN_14000a010	44
14000a040	FUN_14000a040	42
14000a070	FUN_14000a070	68
14000a0c0	FUN_14000a0c0	229
14000a1b0	FUN_14000a1b0	482
14000a3a0	FUN_14000a3a0	513
14000a5b0	FUN_14000a5b0	94
14000a860	FUN_14000a860	86
14000aad0	FUN_14000aad0	94
14000ad20	FUN_14000ad20	414
14000aec0	FUN_14000aec0	528
14000b0e0	FUN_14000b0e0	158
14000b180	FUN_14000b180	126
14000b200	FUN_14000b200	195
14000b2d0	FUN_14000b2d0	215
14000b3b0	FUN_14000b3b0	194
14000b480	FUN_14000b480	155
14000b520	FUN_14000b520	222
14000b600	FUN_14000b600	130
14000b690	FUN_14000b690	171
14000b740	FUN_14000b740	301
14000b870	FUN_14000b870	293
14000b9a0	FUN_14000b9a0	256
14000baa0	FUN_14000baa0	129
14000bb30	FUN_14000bb30	83
14000bb90	FUN_14000bb90	198
14000bc60	FUN_14000bc60	320
14000bdc0	FUN_14000bdc0	193
14000be90	FUN_14000be90	262
14000bfa0	FUN_14000bfa0	61
14000bfe0	FUN_14000bfe0	57
14000c020	FUN_14000c020	143
14000ca70	FUN_14000ca70	1263
14000cf60	FUN_14000cf60	8
14000cf70	sprintf	91
14000cfd0	FUN_14000cfd0	54
14000d030	FUN_14000d030	19
14000d050	FUN_14000d050	67
14000d0a0	FUN_14000d0a0	64
14000d0e0	FUN_14000d0e0	54
14000d120	FUN_14000d120	451
14000d320	FUN_14000d320	43
14000d350	FUN_14000d350	43
14000d380	FUN_14000d380	43
14000d3b0	FUN_14000d3b0	119
14000d430	FUN_14000d430	52
14000d470	FUN_14000d470	169
14000d520	FUN_14000d520	52
14000d560	FUN_14000d560	43
14000d590	FUN_14000d590	221
14000d670	FUN_14000d670	438
14000d830	FUN_14000d830	223
14000d910	FUN_14000d910	1081
14000dd50	FUN_14000dd50	481
14000df40	FUN_14000df40	778
14000e250	FUN_14000e250	80
14000e2a0	FUN_14000e2a0	64
14000e2e0	FUN_14000e2e0	64
14000e320	FUN_14000e320	375
14000e4a0	FUN_14000e4a0	241
14000e5a0	FUN_14000e5a0	78
14000ed30	FUN_14000ed30	161
14000fcc0	FUN_14000fcc0	304
14000fe00	FUN_14000fe00	64
140010140	FUN_140010140	64
140010480	FUN_140010480	361
140010d40	FUN_140010d40	199
140010e10	FUN_140010e10	30
140010e30	FUN_140010e30	67
140011a60	FUN_140011a60	60
140012330	FUN_140012330	65
140012380	FUN_140012380	1106
1400127e0	FUN_1400127e0	70
140012ab0	FUN_140012ab0	18
140012b70	FUN_140012b70	23
140012c10	FUN_140012c10	142
140012ca0	FUN_140012ca0	256
140012db0	FUN_140012db0	256
140012ec0	FUN_140012ec0	256
140012fd0	FUN_140012fd0	92
1400132a0	FUN_1400132a0	36
1400132d0	FUN_1400132d0	57
140013310	FUN_140013310	143
1400133a0	FUN_1400133a0	205
140013470	FUN_140013470	6
140013480	FUN_140013480	3
140013490	FUN_140013490	210
140013570	FUN_140013570	22
140013590	FUN_140013590	449
140013760	FUN_140013760	552
